song_id,artist,title,lyrics,emotion
46,Kent Jones,Don't Mind,"
She said ""Hola, ¿Cómo estás?"", she said ""Konnichiwa""

She said ""Pardon my French"", I said ""Bonjour Madame""

Then she said ""Sak pase"" and I said ""N'ap boule""

No matter where I go, you know I love 'em all


She said ""Hola, ¿Cómo estás?"", she said ""Konnichiwa""

She said ""Pardon my French"", I said ""Bonjour Madame""

Then she said ""Sak pase"" and I said ""N'ap boule""

No matter where I go, you know I love 'em all",
48,Charlie Puth,We Don't Talk Anymore,"
(Like we used to do...)


I just heard you found the one you've been looking

You've been looking for

I wish I would have known that wasn't me

'Cause even after all this time I still wonder

Why I can't move on

Just the way you did so easily",
50,Kiiara,Gold,"
And if you love me, love me but you never let me go

When the roof was on fire, you never let me know

Say you're sorry honey, but you never really show

And I could leave the party without ever letting you know

Without ever letting you know


(Roof is falling, let me love me, falling, I just know, roof is falling, climbing love...) 

Without ever letting you know

(Roof is falling, let me love me, falling, I just know, roof is falling, let me love me...) 

Without ever letting you know

(Roof is falling, let me love me, falling, I just know, roof is falling, let me love me...) 

Without ever letting you know

(Roof is falling, let me love me, falling, I just know...) 

Without ever letting you know",
51,Bryson Tiller,Exchange,"
So gimme all of you in exchange for me

Just give me all of you in exchange for me, for me


Break it down, yeah

Yes sir, check",
52,Fetty Wap,679,"
I'm like, yeah, she's fine

Wonder when she'll be mine

She walk past, I press rewind

To see that ass one more time

And I got this sewed up

Remy Boyz, they know us

All fast money, no slow bucks

No one can control us

Ay, yeaaah baby


Tell me what you see

Is it money or it's me?

I smoke twenty, smell the weed

I got hunnies in my V

They like, ""Monty, can you be my baby daddy"", 

I'm like yeah

I got robins on my jeans, you see the wings on every pair

All you see is Remy Boyz, you know my niggas everywhere

And if somebody got a problem, we could meet up anywhere

Now go say something

Don't you niggas play dumb

You know where we came from

You don't want sauce, no A1",
53,Jeremih,Oui,"Ahh ahh ahh ahh ahh
Ahh ahh ahh ahh ahh
Ahh ahh ahh ahh ahh..
I think about all the time
Think you may need all of mine
Hate to say you know that love is blind

I'm 'bout to see, I'll close my eyes

(Truth is) They can't see you in here though

Most of them need dollar signs to make

Every day your birthday

And every night your Valentine

If we tried that we could be

Somewhere in the climate is warm, long as you around me

I swear that everything will be just fine

I wish that we could take some time

Go anywhere, baby I don't mind

Grown man, in my suit and tie

Hey, there's no we without you and I

Oh, yea, ah yea, ah ah yea

Hey, there's no we without you and I

Oh yea, ah yea, ah ah yea

Hey, there's no we without you and I

See my baby know, where my baby go, I go

It's no better feeling, you know when I'm next to her for sure

Oh how can they hate? Gotta get this off my chest

Oh girl, I think I love you, I swear your shit look best

Friends, they know they hate, they don't get the best

Ah yea, I think I love you, oh baby maybe

If we tried that we could be

Somewhere in the climate is warm, long as you around me

I swear that everything will be just fine

I wish that we could take some time

Go anywhere, baby I don't mind

Grown man, in my suit and tie

Hey, there's no we without you and I

Oh, yea, ah yea, ah ah yea

Hey, there's no we without you and I

Oh yea, ah yea, ah ah yea

Hey, there's no we without you and I

Oohh, da du du du du

Oohh, da du du du du

Oohh, da du du du du

Oohh, da du du du du

If we tried that we could be

Somewhere in the climate is warm, long as you around me

I swear that everything will be just fine

I wish that we could take some time

Go anywhere, baby I don't mind

Grown man, in my suit and tie

Hey, there's no we without you and I

Oh, yea, ah yea, ah ah yea

Hey, there's no we without you and I

Oh yea, ah yea, ah ah yea

Hey, there's no we without you and I",
54,Selena Gomez,Hands to Myself,"
Oh oh, 'cause all of the downs and the uppers

Keep making love to each other

And I'm trying, I'm trying, I'm trying, I'm trying

All of the downs and the uppers

Keep making love to each other

And I'm trying, I'm trying, I'm trying, but I


Can't keep my hands to myself

My hands to myself

Can't keep my hands to myself

My hands to myself",
55,Kevin Gates,2 Phones,"
Button start the foreign, oh my God I'm gorgeous

I just put the key inside my pocket park

It might not get to see, this a new Ferrari

Man in the mirror, how you choose to bother

Someone said they callin', I don't feel like talkin'

Everything is different returned the way I bought it

Phone be interrupting me while I'm recordin'

Phone be making women feel they unimportant

Call my dog, he say it's all the way retarded

Keep the oil cause I am not using the Foreman

Kitchen, I just finished up new performance

Hater, wish you well

I got clientele

I just got it off the scale


I got two phones, one for the plug and one for the load

I got two phones, one for the bitches and one for the dough

Think I need two more, line bumpin' I'm ring, ring, ringin'

Countin' money while they ring, ring, ringin'

Trap jumpin' I'm ring, ring, ringin'

I got two phones, one for the plug and one for the load

I got two phones, one for the bitches and one for the dough

Think I need two more, line bumpin' I'm ring, ring, ringin'

Countin' money while they ring, ring, ringin'

Trap jumpin' I'm ring, ring, ringin'",
57,DJ Khaled,For Free,"
I got girls that I shoulda made pay for it

I got girls that I should made wait for it

I got girls that'll cancel a flight back home

Stay another day for it

You got attitude on na na

And your pussy on agua

And your stomach on flat flat

And your ass on what's that?


And, yeah, I need it all right now

Last year I had drama, girl not right now

I was never gon' chat what we talkin' about

You the only one I know could fit it all in her... man",
58,Flume,Never Be Like You,"
I'm only human, can't you see?

I made, I made a mistake

Please just look me in my face

Tell me everything's okay

'Cause I got it

He'll never be like you


I'm only human, can't you see?

I made, I made a mistake

Please just look me in my face

Tell me everything's okay

'Cause I got it

He'll never be like you",
60,Meghan Trainor,Me Too,"
I thank God every day (uh huh)

That I woke up feelin' this way (uh huh)

And I can't help lovin' myself

And I don't need nobody else, nuh uh


If I was you, I'd wanna be me too

I'd wanna be me too

I'd wanna be me too

If I was you, I'd wanna be me too

I'd wanna be me too

I'd wanna be me too",
63,Post Malone,White Iverson,"
I got me some braids and I got me some hoes

Started rockin' the sleeve, I can't ball with no Jordans

You know how I do it, Concords on my toes

(This shit is hard)

I ain't rich yet, but you know I ain't broke, I

So if I see it, I like it, buy that from the store, I

I'm with some white girls and they lovin' the coca

Like they're OT

Double OT like I'm KD, smokin' OG

And you know me, in my 2-3s and my gold teeth

Bitch I'm smiling, bet you see me from the nosebleeds

I'm the new 3 and I change out to my new 3s


White Iverson

When I started ballin' I was young

You gon' think about me when I'm gone

I need that money like the ring I never won, I won",
64,Nick Jonas,Close,"
I know, I know you know you're scared

Your heart, your mind, your soul, your body

They won't, they won't, they won't be careful

But I guess that you don't know me


'Cause if I want you, and I want you, babe

Ain't going backwards, won't ask for space

'Cause space is just a word made up by someone 

Who's afraid to get too...",
65,X Ambassadors,Unsteady,"
Mama, come here

Approach, appear

Daddy, I'm alone

'Cause this house don't feel like home


If you love me, don't let go

If you love me, don't let go",
67,Yo Gotti,Down in the DM,"
I tell her

Snapchat me that pussy...mood

Or Facetime me that pussy if it's...cool

(Whoo) Boy, my DM poppin' (DM poppin')

My DM just caught a body

I got celebs in this DM

They breakin' news if they see them

But nah we don't do no talkin' (we don't do no talkin')

We see sucker shit too often (fuck nigga)


I seen your girl post her BM

So I hit her in her DM

All eyes, yeah I see 'em

Yeah, that's your man? I'd hate to be him (whoop)

It goes down in the DM (it go down)

It go down in the DM (it go down, it go...down)

It goes down in the DM (it go down)

It go down in the DM (it go down, it go... down)",
68,Tory Lanez,Luv,"
Everyone falls in love sometimes

I don't know 'bout you but it ain't a crime

If you let me love you, love you, love you for long time baby

If you let me touch you, and if you let me love you 'til the morning, oh


Mmm, ah, mmm, ah, mmm, if you let me love you

Mmm, ah, mmm, ah, mmm, if you let me touch you

Mmm, ah, mmm, ah, mmm, if you let me love you

Mmm, ah, mmm, ah, mmm, if you let me touch you",
69,Beyoncé,Sorry,"
He trying to roll me up, (I ain't sorry)

I ain't picking up (I ain't sorry) 

Headed to the club, (I ain't sorry)

I ain't thinking 'bout you (I ain't sorry)

Me and my ladies sip my D'ussé cup (I ain't sorry)

I don't give a fuck, chucking my deuces up 

Suck on my balls, pause, I had enough (I ain't sorry)

I ain't thinking 'bout you

I ain't thinking 'bout


Middle fingers up, put em hands high

Wave it in his face, tell him, boy, bye

(Sorry) tell him, boy, bye, (sorry) boy bye 

Middle fingers up, I ain't thinking 'bout you",
71,Coldplay,Hymn for the Weekend,"
And said drink from me, drink from me

When I was so thirsty

Pour on a symphony

Now I just can't get enough

Put your wings on me, wings on me

When I was so heavy

Pour on a symphony

When I'm low, low, low, low


Ah-oh-ah-oh-ah

Got me feeling drunk and high

So high, so high

Oh-ah-oh-ah-oh-ah

Now I'm feeling drunk and high

So high, so high, woo

(Woo-ooo-ooo-woo)",
72,Tory Lanez,Say It,"
And you know, you know

And you know, in this foreign car let it go

And you know, you know

And you know, in this foreign car let you know


But I'm not sure that you want me

But I now know

You know I know that this ain't right

Cause you want me cause I got dough

Ever since you walked in inside my foreign, slam my door

You know I know that you been on it

But I been on it, on the low",
73,Travis Scott,Antidote,"
Party on a Sunday (That was fun!)

Do it all again on Monday (One more time!)

Spent a check on a weekend (Oh my God!)

I might do it all again (That's boss shit)

I just hit a three peat

Fucked three hoes I met this week (Robert Horry!)

I don't do no old hoes (Oh, no, no!)

My nigga, that's a no-no (Straight up!)

She just want the coco (Cocaina!)

I just want dinero

Who that at the front door?

If it's the feds, oh-no-no-no (Don't let 'em in, shhh)


Don't you open up that window

Don't you let out that antidote

Poppin' pills is all we know

In the hills is all we know (Hollywood!)

Don't go through the front door (In the back!)

It's lowkey at the night show

At the night show

At the night show (Higher)

At the night show

At the night show (Get lit my nigga)

At the night show",
74,Ruth B,Lost Boy,"
He said Peter Pan that's what they call me

I promise that you'll never be lonely

And ever since that day


I am a Lost Boy from Neverland

Usually hanging out with Peter Pan

And when we're bored we play in the Woods

Always on the run from Captain Hook",
76,Daya,"Sit Still, Look Pretty","
I know the other girlies wanna wear expensive things, and diamond rings

But I don't wanna be the puppet that you're playing on a string

This queen don't need a king


Oh I don't know what you've been told

But this gal right here's gonna rule the world

Yeah that is where I'm gonna be because I wanna be

No I don't wanna sit still, look pretty",
77,Taylor Swift,Wildest Dreams,"
Say you'll remember me

Standing in a nice dress, staring at the sun set babe

Red lips and rosy cheeks

Say you'll see me again even if it's just in your wildest dreams

Wildest dreams


I say no one has to know what we do

His hands are in my hair, his clothes are in my room

And his voice is a familiar sound, nothing lasts forever

But this is getting good now

He's so tall, and handsome as hell

He's so bad but he does it so well

And when we've had our very last kiss

But my last request is",
78,DJ Snake,Middle,"
I hope that I can turn back the time

To make it all alright, all alright for us

I'll promise to build a new world for us two

With you in the middle


(with you in the middle)

(with you in the middle)",
79,Ellie Goulding,On My Mind,"
And now I don't understand it

You don't mess with love, you mess with the truth

And I know I shouldn't say it

But my heart don't understand


Why I got you on my mind

Why I got you on my mind

Why I got you on my mind

Why I got you on my mind

But my heart don't understand

Why I got you on my mind

Why I got you on my mind

Why I got you on my mind

Why I got you on my mind",
80,Drake,Pop Style,"
Tell my mom I love her if I do not make it (do not make it)

Got so many chains they call me Chaining Tatum

(They do, they do)

And I like to finish what you think you started

Man you boys just got to Hollywood, you boys just started

You don't know what you just started

All I do is hang with the young and heartless

All this for my family, man, I try my hardest

It's all I ever did and look where it got him

Yeah, you've been on my mind lately

You've still got my number, girl you need to call me

I feel like they wanna see me learn the hard way

But you know I always handle that one my way

Girl let me rock, rock, rock, rock, rock your body

Justin Timberlake and then I hit the highway

I can't trust no fuckin' body

They still out to get me cause they never got me


They still out to get me, I don't get it

I can not be got, and that's a given

Give a real nigga the number one

Even though I got like twenty-one

Cannot be me I'm a one-of-one

Schooling your ass like 101

They been out here tryna slide on me

They been out here telling lies on me

Everybody looking out for themself

But they still got they eyes on me

See me putting in the hard work now, aye

Momma doesn't have to call work now, aye

I decide when I start work now, aye

Problems hit the gym, they all work out

MVP, MVP, oh-nine all the way to sixteen

Even next season looking like a breeze

Lot of y'all ain't built for the league, yeah

Trade you off the team while you in your sleep, yeah

Y'all showed me that nothing's guaranteed

And you don't know what you started

My friend's chain so big that he look like the artist

I can't trust no fuckin' body

They still out to get me cause they never got me ",
81,Adele,When We Were Young,"
But if by chance you're here alone

Can I have a moment

Before I go?

'Cause I've been by myself all night long

Hoping you're someone I used to know


You look like a movie

You sound like a song

My God, this reminds me

Of when we were young",
82,Daya,Hide Away,"
Where do the good boys go to hide away, hide away?

I'm a good good girl who needs a little company

Looking high and low, someone let me know

Where do the good boys go to hide away, hide away?


Boys seem to like the girls who like to kiss and tell

Talking them up about the things they do so well

But I'd rather find a boy who is down for the chase

Putting in the time that it takes",
83,Major Lazer,Lean On,"
Blow a kiss, fire a gun

We need someone to lean on

Blow a kiss, fire a gun

All we need is somebody to lean on!

Blow a kiss, fire a gun

We need someone to lean on

Blow a kiss, fire a gun

All we need is somebody to lean on!


But what will we do when we get old?

Will we walk down the same road?

Will you be there by my side?

Standing strong as the waves roll over

But the nights are long,

Longing for you to come home

All around the wind blows

We would only hold on to let go",
